station,window_scale,start_idx,end_idx,start_time,end_time,pc1,pc2
5802053,12,552,563,2025-01-24 00:00:00,2025-01-24 11:00:00,-1.2973941543914298,0.6882100038796327
5802053,12,564,575,2025-01-24 12:00:00,2025-01-24 23:00:00,-1.2727816199719053,0.6636299434267234
5802053,12,576,587,2025-01-25 00:00:00,2025-01-25 11:00:00,-1.2911194832011217,0.6812452870200473
5802053,12,588,599,2025-01-25 12:00:00,2025-01-25 23:00:00,-1.2912788136568338,0.6820326433385341
5802053,12,600,611,2025-01-26 00:00:00,2025-01-26 11:00:00,-1.2939965589238784,0.6841458944515519
5802053,12,612,623,2025-01-26 12:00:00,2025-01-26 23:00:00,-1.2740350900509518,0.6642421866631334
5802053,12,624,635,2025-01-27 00:00:00,2025-01-27 11:00:00,-1.2836483967334422,0.673512634533967
5802053,12,636,647,2025-01-27 12:00:00,2025-01-27 23:00:00,-1.2823703803028716,0.6731377404399215
5802053,12,648,659,2025-01-28 00:00:00,2025-01-28 11:00:00,-1.315670252511782,0.7071472876377461
5802053,12,660,671,2025-01-28 12:00:00,2025-01-28 23:00:00,-1.2826634996122328,0.673419096362738
