station,window_scale,start_idx,end_idx,start_time,end_time,latent_pc1,latent_pc2
4101872,6,156,161,2025-01-18 20:00:00,2025-01-19 01:00:00,-0.081823066,-0.74409145
4101872,6,159,164,2025-01-18 23:00:00,2025-01-19 04:00:00,-0.051816083,-0.6815803
4101872,6,162,167,2025-01-19 02:00:00,2025-01-19 07:00:00,-0.11303432,-0.73777497
4101872,6,165,170,2025-01-19 05:00:00,2025-01-19 10:00:00,-0.13497108,-1.0023257
4101872,6,168,173,2025-01-19 08:00:00,2025-01-19 13:00:00,-0.035666894,-0.93525034
4101872,6,171,176,2025-01-19 11:00:00,2025-01-19 16:00:00,-0.060494736,-0.8673313
4101872,6,174,179,2025-01-19 14:00:00,2025-01-19 19:00:00,-0.07400234,-0.68444777
4101872,6,177,182,2025-01-19 17:00:00,2025-01-19 22:00:00,-0.12685494,-1.0864049
4101872,6,180,185,2025-01-19 20:00:00,2025-01-20 01:00:00,-0.095066875,-0.7024797
4101872,6,183,188,2025-01-19 23:00:00,2025-01-20 04:00:00,-0.06718731,-0.701866
4101872,6,186,191,2025-01-20 02:00:00,2025-01-20 07:00:00,-0.12939718,-1.0642747
4101872,6,189,194,2025-01-20 05:00:00,2025-01-20 10:00:00,-0.12380703,-1.1762826
4101872,6,192,197,2025-01-20 08:00:00,2025-01-20 13:00:00,-0.04442031,-1.2813456
4101872,6,195,200,2025-01-20 11:00:00,2025-01-20 16:00:00,-0.052157022,-1.0224528
4101872,6,198,203,2025-01-20 14:00:00,2025-01-20 19:00:00,-0.0900866,-0.79590917
4101872,6,201,206,2025-01-20 17:00:00,2025-01-20 22:00:00,-0.13464995,-1.2872341
4101872,6,204,209,2025-01-20 20:00:00,2025-01-21 01:00:00,-0.078301325,-0.657511
4101872,6,207,212,2025-01-20 23:00:00,2025-01-21 04:00:00,-0.052351043,-0.66291803
4101872,6,210,215,2025-01-21 02:00:00,2025-01-21 07:00:00,-0.10432633,-0.7906978
4101872,6,213,218,2025-01-21 05:00:00,2025-01-21 10:00:00,-0.12577735,-1.0818743
4101872,6,216,221,2025-01-21 08:00:00,2025-01-21 13:00:00,-0.059176248,-0.8427772
4101872,6,219,224,2025-01-21 11:00:00,2025-01-21 16:00:00,-0.07359756,-0.73436147
4101872,6,222,227,2025-01-21 14:00:00,2025-01-21 19:00:00,-0.09637087,-0.74425745
4101872,6,225,230,2025-01-21 17:00:00,2025-01-21 22:00:00,-0.13823345,-1.1873964
4101872,6,228,233,2025-01-21 20:00:00,2025-01-22 01:00:00,-0.1014,-0.7257156
4101872,6,231,236,2025-01-21 23:00:00,2025-01-22 04:00:00,-0.057405334,-0.6213863
4101872,6,234,239,2025-01-22 02:00:00,2025-01-22 07:00:00,-0.117405,-0.9611348
4101872,6,237,242,2025-01-22 05:00:00,2025-01-22 10:00:00,-0.13719898,-1.3323529
4101872,6,240,245,2025-01-22 08:00:00,2025-01-22 13:00:00,-0.040998474,-1.0650269
4101872,6,243,248,2025-01-22 11:00:00,2025-01-22 16:00:00,-0.0655754,-0.7474496
4101872,6,246,251,2025-01-22 14:00:00,2025-01-22 19:00:00,-0.05596119,-0.8803086
4101872,6,249,254,2025-01-22 17:00:00,2025-01-22 22:00:00,-0.113206744,-1.2063946
4101872,6,252,257,2025-01-22 20:00:00,2025-01-23 01:00:00,-0.0912805,-0.626948
4101872,6,255,260,2025-01-22 23:00:00,2025-01-23 04:00:00,-0.039751414,-0.66186905
4101872,6,258,263,2025-01-23 02:00:00,2025-01-23 07:00:00,-0.122394025,-0.8603404
4101872,6,261,266,2025-01-23 05:00:00,2025-01-23 10:00:00,-0.12875223,-0.9211771
4101872,6,264,269,2025-01-23 08:00:00,2025-01-23 13:00:00,-0.059171658,-0.8721082
4101872,6,267,272,2025-01-23 11:00:00,2025-01-23 16:00:00,-0.056264494,-0.9110372
4101872,6,270,275,2025-01-23 14:00:00,2025-01-23 19:00:00,-0.08615712,-0.6814857
4101872,6,273,278,2025-01-23 17:00:00,2025-01-23 22:00:00,-0.13930456,-1.3436431
4101872,6,276,281,2025-01-23 20:00:00,2025-01-24 01:00:00,-0.119109504,-0.7544433
4101872,6,279,284,2025-01-23 23:00:00,2025-01-24 04:00:00,-0.081362255,-0.6033426
4101872,6,282,287,2025-01-24 02:00:00,2025-01-24 07:00:00,-0.1106788,-0.9137162
4101872,6,285,290,2025-01-24 05:00:00,2025-01-24 10:00:00,-0.12533836,-1.0436443
4101872,6,288,293,2025-01-24 08:00:00,2025-01-24 13:00:00,-0.04784967,-0.9956457
4101872,6,291,296,2025-01-24 11:00:00,2025-01-24 16:00:00,-0.032087877,-0.73854524
4101872,6,294,299,2025-01-24 14:00:00,2025-01-24 19:00:00,-0.07913135,-0.6938698
4101872,6,297,302,2025-01-24 17:00:00,2025-01-24 22:00:00,-0.12559052,-1.0484055
4101872,6,300,305,2025-01-24 20:00:00,2025-01-25 01:00:00,-0.09072703,-0.6232065
4101872,6,303,308,2025-01-24 23:00:00,2025-01-25 04:00:00,-0.05711447,-0.6686624
4101872,6,306,311,2025-01-25 02:00:00,2025-01-25 07:00:00,-0.13159132,-0.999326
4101872,6,309,314,2025-01-25 05:00:00,2025-01-25 10:00:00,-0.14324108,-1.3120594
4101872,6,312,317,2025-01-25 08:00:00,2025-01-25 13:00:00,-0.06416838,-0.99984705
4101872,6,315,320,2025-01-25 11:00:00,2025-01-25 16:00:00,-0.0524325,-0.916423
4101872,6,318,323,2025-01-25 14:00:00,2025-01-25 19:00:00,-0.10624006,-0.85135865
4101872,6,321,326,2025-01-25 17:00:00,2025-01-25 22:00:00,-0.14454947,-1.4372044
4101872,6,324,329,2025-01-25 20:00:00,2025-01-26 01:00:00,-0.1102589,-0.75326085
4101872,6,327,332,2025-01-25 23:00:00,2025-01-26 04:00:00,-0.061923392,-0.70690227
4101872,6,330,335,2025-01-26 02:00:00,2025-01-26 07:00:00,-0.12641276,-0.8839701
4101872,6,333,338,2025-01-26 05:00:00,2025-01-26 10:00:00,-0.12709339,-1.047269
4101872,6,336,341,2025-01-26 08:00:00,2025-01-26 13:00:00,-0.04260814,-0.8757029
4101872,6,339,344,2025-01-26 11:00:00,2025-01-26 16:00:00,-0.07080372,-1.1327887
4101872,6,342,347,2025-01-26 14:00:00,2025-01-26 19:00:00,-0.11616664,-0.8783123
4101872,6,345,350,2025-01-26 17:00:00,2025-01-26 22:00:00,-0.1396135,-1.4593058
4101872,6,348,353,2025-01-26 20:00:00,2025-01-27 01:00:00,-0.09993856,-0.6578051
4101872,6,351,356,2025-01-26 23:00:00,2025-01-27 04:00:00,-0.033663288,-0.6725427
4101872,6,354,359,2025-01-27 02:00:00,2025-01-27 07:00:00,-0.10142555,-0.7819438
4101872,6,357,362,2025-01-27 05:00:00,2025-01-27 10:00:00,-0.12872295,-1.1356883
4101872,6,360,365,2025-01-27 08:00:00,2025-01-27 13:00:00,-0.048334163,-1.1177969
4101872,6,363,368,2025-01-27 11:00:00,2025-01-27 16:00:00,-0.05730851,-1.0277269
4101872,6,366,371,2025-01-27 14:00:00,2025-01-27 19:00:00,-0.08869767,-0.9001887
4101872,6,369,374,2025-01-27 17:00:00,2025-01-27 22:00:00,-0.14269994,-1.5442541
4101872,6,372,377,2025-01-27 20:00:00,2025-01-28 01:00:00,-0.09805769,-0.65169466
4101872,6,375,380,2025-01-27 23:00:00,2025-01-28 04:00:00,-0.0039027284,-0.6842032
4101872,6,378,383,2025-01-28 02:00:00,2025-01-28 07:00:00,-0.11424322,-0.95750296
4101872,6,381,386,2025-01-28 05:00:00,2025-01-28 10:00:00,-0.12925646,-1.083041
4101872,6,384,389,2025-01-28 08:00:00,2025-01-28 13:00:00,-0.036206905,-1.1272503
4101872,6,387,392,2025-01-28 11:00:00,2025-01-28 16:00:00,-0.05856676,-1.1088687
4101872,6,390,395,2025-01-28 14:00:00,2025-01-28 19:00:00,-0.07382761,-0.7348476
4101872,6,393,398,2025-01-28 17:00:00,2025-01-28 22:00:00,-0.13666883,-1.2784665
4101872,6,396,401,2025-01-28 20:00:00,2025-01-29 01:00:00,-0.08141616,-0.74720913
4101872,6,399,404,2025-01-28 23:00:00,2025-01-29 04:00:00,-0.04051519,-0.64380133
4101872,6,402,407,2025-01-29 02:00:00,2025-01-29 07:00:00,-0.122806214,-1.0439194
4101872,6,405,410,2025-01-29 05:00:00,2025-01-29 10:00:00,-0.13963455,-1.417541
4101872,6,408,413,2025-01-29 08:00:00,2025-01-29 13:00:00,-0.05707306,-0.7414007
4101872,6,411,416,2025-01-29 11:00:00,2025-01-29 16:00:00,-0.036683127,-0.79590666
4101872,6,414,419,2025-01-29 14:00:00,2025-01-29 19:00:00,-0.081468865,-0.6995177
